filename,width,height,class,xmin,ymin,xmax,ymax
JENGA_OFFICE_S_B_frame_2621.jpg,1280,720,hand,627,309,676,436
JENGA_OFFICE_S_B_frame_2621.jpg,1280,720,hand,280,231,400,340
CHESS_COURTYARD_S_H_frame_1568.jpg,1280,720,hand,444,142,622,260
CHESS_COURTYARD_S_H_frame_1568.jpg,1280,720,hand,241,219,489,565
PUZZLE_COURTYARD_T_H_frame_1362.jpg,1280,720,hand,3,464,357,718
PUZZLE_COURTYARD_T_H_frame_1362.jpg,1280,720,hand,419,515,982,718
JENGA_COURTYARD_T_S_frame_0292.jpg,1280,720,hand,90,334,400,681
JENGA_COURTYARD_T_S_frame_0292.jpg,1280,720,hand,591,465,753,614
JENGA_COURTYARD_T_S_frame_0292.jpg,1280,720,hand,305,519,381,585
JENGA_OFFICE_T_H_frame_2530.jpg,1280,720,hand,204,267,439,477
JENGA_OFFICE_T_H_frame_2530.jpg,1280,720,hand,551,282,714,576
JENGA_OFFICE_T_H_frame_2530.jpg,1280,720,hand,770,461,912,564
JENGA_OFFICE_T_H_frame_2530.jpg,1280,720,hand,300,143,427,272
CARDS_LIVINGROOM_T_B_frame_0478.jpg,1280,720,hand,712,309,958,464
CARDS_LIVINGROOM_T_B_frame_0478.jpg,1280,720,hand,492,291,686,449
CARDS_COURTYARD_B_T_frame_1024.jpg,1280,720,hand,600,355,728,489
CARDS_COURTYARD_B_T_frame_1024.jpg,1280,720,hand,457,324,620,450
CHESS_LIVINGROOM_H_T_frame_1226.jpg,1280,720,hand,1,593,245,718
CHESS_LIVINGROOM_H_T_frame_1226.jpg,1280,720,hand,1056,587,1279,718
CHESS_LIVINGROOM_H_T_frame_1226.jpg,1280,720,hand,872,337,1061,527
CHESS_LIVINGROOM_H_T_frame_1226.jpg,1280,720,hand,251,174,501,409
JENGA_LIVINGROOM_H_B_frame_2233.jpg,1280,720,hand,646,198,901,553
JENGA_LIVINGROOM_H_B_frame_2233.jpg,1280,720,hand,750,574,922,718
JENGA_LIVINGROOM_H_B_frame_2233.jpg,1280,720,hand,220,567,395,718
PUZZLE_COURTYARD_H_T_frame_0346.jpg,1280,720,hand,378,648,596,718
PUZZLE_COURTYARD_H_T_frame_0346.jpg,1280,720,hand,799,549,1029,718
PUZZLE_COURTYARD_H_T_frame_0346.jpg,1280,720,hand,488,413,678,547
PUZZLE_COURTYARD_H_T_frame_0346.jpg,1280,720,hand,303,350,463,510
CARDS_OFFICE_H_T_frame_1951.jpg,1280,720,hand,245,555,558,718
CARDS_OFFICE_H_T_frame_1951.jpg,1280,720,hand,675,457,1056,701
CARDS_OFFICE_H_T_frame_1951.jpg,1280,720,hand,669,161,817,246
CARDS_OFFICE_H_T_frame_1951.jpg,1280,720,hand,520,161,645,252
CARDS_LIVINGROOM_B_T_frame_1184.jpg,1280,720,hand,698,320,908,441
CARDS_LIVINGROOM_B_T_frame_1184.jpg,1280,720,hand,378,226,662,390
JENGA_OFFICE_S_B_frame_0644.jpg,1280,720,hand,249,594,506,714
JENGA_OFFICE_S_B_frame_0644.jpg,1280,720,hand,900,593,1130,716
JENGA_OFFICE_S_B_frame_0644.jpg,1280,720,hand,799,244,873,360
JENGA_OFFICE_S_B_frame_0644.jpg,1280,720,hand,586,261,652,350
CARDS_LIVINGROOM_H_S_frame_1606.jpg,1280,720,hand,285,666,375,719
CARDS_LIVINGROOM_H_S_frame_1606.jpg,1280,720,hand,685,539,919,719
CARDS_LIVINGROOM_H_S_frame_1606.jpg,1280,720,hand,748,388,918,505
CARDS_LIVINGROOM_H_S_frame_1606.jpg,1280,720,hand,573,388,737,519
CHESS_COURTYARD_B_T_frame_0262.jpg,1280,720,hand,716,314,804,428
CHESS_COURTYARD_B_T_frame_0262.jpg,1280,720,hand,552,281,736,440
CARDS_LIVINGROOM_H_S_frame_0082.jpg,1280,720,hand,591,556,922,719
CARDS_LIVINGROOM_H_S_frame_0082.jpg,1280,720,hand,617,285,749,399
CARDS_LIVINGROOM_H_S_frame_0082.jpg,1280,720,hand,511,281,616,384
PUZZLE_COURTYARD_S_B_frame_0359.jpg,1280,720,hand,650,648,893,717
PUZZLE_COURTYARD_S_B_frame_0359.jpg,1280,720,hand,493,45,668,317
PUZZLE_COURTYARD_S_B_frame_0359.jpg,1280,720,hand,47,76,335,396
CARDS_LIVINGROOM_H_S_frame_2442.jpg,1280,720,hand,332,644,472,719
CARDS_LIVINGROOM_H_S_frame_2442.jpg,1280,720,hand,652,528,1026,719
CARDS_LIVINGROOM_H_S_frame_2442.jpg,1280,720,hand,688,364,872,489
CARDS_LIVINGROOM_H_S_frame_2442.jpg,1280,720,hand,319,391,470,605
JENGA_COURTYARD_T_S_frame_2432.jpg,1280,720,hand,126,332,476,606
JENGA_COURTYARD_T_S_frame_2432.jpg,1280,720,hand,414,320,775,714
JENGA_COURTYARD_T_S_frame_2432.jpg,1280,720,hand,749,568,898,713
JENGA_COURTYARD_B_H_frame_2556.jpg,1280,720,hand,682,452,791,588
JENGA_COURTYARD_B_H_frame_2556.jpg,1280,720,hand,566,165,787,300
PUZZLE_COURTYARD_H_T_frame_0385.jpg,1280,720,hand,368,700,453,718
PUZZLE_COURTYARD_H_T_frame_0385.jpg,1280,720,hand,680,705,783,718
PUZZLE_COURTYARD_H_T_frame_0385.jpg,1280,720,hand,494,266,679,399
PUZZLE_COURTYARD_H_T_frame_0385.jpg,1280,720,hand,332,245,470,384
JENGA_COURTYARD_B_H_frame_2588.jpg,1280,720,hand,661,655,777,718
JENGA_COURTYARD_B_H_frame_2588.jpg,1280,720,hand,697,400,809,528
JENGA_COURTYARD_B_H_frame_2588.jpg,1280,720,hand,416,147,545,331
CHESS_COURTYARD_B_T_frame_2324.jpg,1280,720,hand,676,344,820,457
CHESS_COURTYARD_B_T_frame_2324.jpg,1280,720,hand,522,329,679,440
PUZZLE_OFFICE_T_S_frame_2187.jpg,1280,720,hand,186,454,444,677
PUZZLE_OFFICE_T_S_frame_2187.jpg,1280,720,hand,563,399,733,595
PUZZLE_OFFICE_T_S_frame_2187.jpg,1280,720,hand,453,214,598,348
PUZZLE_OFFICE_T_S_frame_2187.jpg,1280,720,hand,172,218,401,404
CARDS_LIVINGROOM_S_H_frame_0003.jpg,1280,720,hand,334,606,440,718
CARDS_LIVINGROOM_S_H_frame_0003.jpg,1280,720,hand,656,648,855,718
CARDS_LIVINGROOM_S_H_frame_0003.jpg,1280,720,hand,531,303,722,417
CARDS_LIVINGROOM_S_H_frame_0003.jpg,1280,720,hand,368,254,497,377
CHESS_LIVINGROOM_B_S_frame_2333.jpg,1280,720,hand,675,275,860,514
CHESS_LIVINGROOM_B_S_frame_2333.jpg,1280,720,hand,47,346,238,553
CARDS_LIVINGROOM_T_B_frame_0813.jpg,1280,720,hand,1,597,219,719
CARDS_LIVINGROOM_T_B_frame_0813.jpg,1280,720,hand,627,584,880,713
CARDS_LIVINGROOM_T_B_frame_0813.jpg,1280,720,hand,723,242,923,376
CARDS_LIVINGROOM_T_B_frame_0813.jpg,1280,720,hand,527,188,701,326
PUZZLE_LIVINGROOM_S_H_frame_2462.jpg,1280,720,hand,71,487,452,718
PUZZLE_LIVINGROOM_S_H_frame_2462.jpg,1280,720,hand,724,599,1082,718
PUZZLE_LIVINGROOM_S_H_frame_2462.jpg,1280,720,hand,1090,349,1279,604
PUZZLE_LIVINGROOM_S_H_frame_2462.jpg,1280,720,hand,548,233,696,432
CHESS_OFFICE_B_S_frame_1277.jpg,1280,720,hand,740,412,1138,660
CHESS_OFFICE_B_S_frame_1277.jpg,1280,720,hand,626,221,790,344
CHESS_OFFICE_B_S_frame_1277.jpg,1280,720,hand,365,189,518,325
CARDS_OFFICE_B_S_frame_0543.jpg,1280,720,hand,670,700,761,717
CARDS_OFFICE_B_S_frame_0543.jpg,1280,720,hand,620,329,741,428
CARDS_OFFICE_B_S_frame_0543.jpg,1280,720,hand,501,312,622,419
PUZZLE_LIVINGROOM_S_H_frame_1550.jpg,1280,720,hand,115,568,480,718
PUZZLE_LIVINGROOM_S_H_frame_1550.jpg,1280,720,hand,1154,142,1279,335
PUZZLE_LIVINGROOM_S_H_frame_1550.jpg,1280,720,hand,942,165,1143,288
CARDS_OFFICE_B_S_frame_2202.jpg,1280,720,hand,286,654,506,718
CARDS_OFFICE_B_S_frame_2202.jpg,1280,720,hand,547,642,798,718
CARDS_OFFICE_B_S_frame_2202.jpg,1280,720,hand,581,234,705,325
CARDS_OFFICE_B_S_frame_2202.jpg,1280,720,hand,445,230,560,325
